Campaign,Assignee,Delivery deadline,Proofreader,Proofread deadline,Status,Publication date,Topic,Class,Funnel,Service-line,SEO Keyword,Angle,Market,Location,Language,Category name,Priority,Note
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,12/05/2026,Meilleure conciergerie Airbnb France [Pillar],Pillar,BOFU,Owners_Single-units,meilleure conciergerie airbnb france,Umbrella pillar — highlights GuestReady while targeting high conversion intent,FR,,French (european),Management,High,Publish AFTER Lyon conciergerie cluster (Apr 22). Links to Lyon + Paris conciergerie clusters.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,15/05/2026,Best Property Management Companies Liverpool,Cluster,BOFU,Generic,property management companies liverpool,Completes UK city PM series,UK,Liverpool,UK English,Management,High,Carry-forward from Q1. Must be live before UK Pillar in June.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,19/05/2026,Comment passer de la location courte durée à la moyenne durée à Paris,Cluster,MOFU,Owners_Single-units,passer location courte durée moyenne durée paris,Practical transition guide. Strong CTA to GuestReady mid-term service.,FR,Paris,French (european),Regulations + Management,High,Final article in Paris mid-term transition series. CTA to GuestReady mid-term service.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,22/05/2026,Licencia turística en Canarias [Pillar],Pillar,MOFU,Owners_Single-units,licencia turística canarias,Regulatory guide for property owners in the Canary Islands,ES,Canary Islands,Spanish (european),Regulations,High,Extends ES regulatory pillar series alongside Andalucía and Comunidad Valenciana.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,26/05/2026,Renting out property in Dublin: what landlords need to know,Cluster,MOFU,Owners_Single-units,renting out property dublin landlords,High-value regulatory content with strong E-E-A-T signal,UK,Dublin,UK English,Regulations,High,Pairs with Best PM Companies Dublin (Apr). Strong internal linking opportunity.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,29/05/2026,Guía para propietarios expatriados en España: cómo gestionar tu propiedad desde el extranjero,Cluster,MOFU,Owners_Single-units,propietarios expatriados españa gestión propiedad extranjero,Remote management is a core frustration for ES02/ES04/ES05 personas,ES,,Spanish (european),Management,High,No existing content addresses remote management in ES. Strong persona fit.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,02/06/2026,Best property management companies in the UK [Pillar],Pillar,BOFU,Owners_Single-units,best property management companies uk,High conversion intent. Links to all UK city cluster articles.,UK,,UK English,Management,High,Publish AFTER all city clusters live (London + Manchester + Edinburgh + Brighton + Liverpool). Umbrella pillar.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,05/06/2026,Gerir um alojamento local à distância: guia para emigrantes,Cluster,MOFU,Owners_Single-units,gerir alojamento local distância emigrantes,Targets Portuguese diaspora — strong angle for remote owners,PT,,Portuguese (european),Management,High,Strong persona fit for PT emigrant owners. No existing content addresses this.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,09/06/2026,Mejores empresas de gestión de alquileres turísticos en España [Pillar],Pillar,BOFU,Owners_Single-units,mejores empresas gestión alquileres turísticos españa,High conversion intent. Links to Valencia + Málaga + Andalucía clusters.,ES,,Spanish (european),Management,High,Publish AFTER Andalucía guide (Apr) and Canarias pillar (May). Umbrella for ES management content.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,12/06/2026,Alternativa a alojamento local [Pillar],Pillar,MOFU,Generic,alternativa a alojamento local,Captures owners exploring alternatives due to PT regulatory changes,PT,Portugal,Portuguese (european),Regulations,Medium,Carry-forward from Q1.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,16/06/2026,How do management fees for holiday lets compare across the UK?,Cluster,MOFU,Owners_Single-units,holiday let management fees uk comparison,Pricing transparency builds trust — tonal principle: Convey Trust,UK,,UK English,Management,Medium,Strong E-E-A-T content. Links to UK Pillar.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,19/06/2026,Louer au Mois sur Airbnb: Flexibilité Maximale,Cluster,MOFU,Generic,louer au mois airbnb france,Flexibility-focused content targeting mid-term demand in France,FR,,French (european),Management,Medium,Carry-forward from Q1.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,23/06/2026,Investing in Dubai as a foreigner [Pillar],Pillar,MOFU,Owners_Single-units,investing in dubai as a foreigner,Umbrella pillar for the investor nationality series (Saudi + Pakistani + UK already live),UAE,Dubai,UK English,Investment,High,Publish AFTER all Q1 investor nationality articles are live. Links to Saudi + Pakistani + UK investor guides.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,25/06/2026,Staycation market in Dubai: what property owners should know,Cluster,MOFU,Owners_Single-units,staycation dubai property owners,Captures dominant search trend. No existing content addresses staycation specifically.,UAE,Dubai,UK English,Investment,Medium,New angle — no existing content covers this. Pairs with Dubai Pillar.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,28/06/2026,Luxury short-term rental management in the UK: what to look for,Cluster,MOFU,Owners_Single-units,luxury short term rental management uk,Addresses UK05 high-value persona — luxury STR management,UK,,UK English,Management,Medium,Targets high-value owner persona. Links to UK Pillar.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,30/06/2026,Empresas de alojamento local Madeira,Cluster,BOFU,Owners_Single-units,empresas de alojamento local madeira,Fulfill knowledge on short-term rentals in Madeira,PT,Madeira,Portuguese (european),Regulations,Medium,Carry-forward from Q1.
